,title,country,clean_description,listed_in_clean,cast_clean,combined
77,little singham - black shadow,,cop little trying stop demon new evil inner strength help defeat enemy,children family movies comedies,sumriddhi shukla jigna bharadwaj sonal kaushal neshma chemburkar ganesh divekar annamaya verma anamay verma manoj pandey,cop little trying stop demon new evil inner strength help defeat enemy children family movies comedies sumriddhi shukla jigna bharadwaj sonal kaushal neshma chemburkar ganesh divekar annamaya verma anamay verma manoj pandey
78,tughlaq durbar,,budding politician devious rise unexpected new presence interfere every crooked move,comedies dramas international movies,vijay sethupathi parthiban raashi khanna,budding politician devious rise unexpected new presence interfere every crooked move comedies dramas international movies vijay sethupathi parthiban raashi khanna
79,tughlaq durbar (telugu),,budding politician devious rise unexpected new presence interfere every crooked move,comedies dramas international movies,vijay sethupathi parthiban raashi khanna,budding politician devious rise unexpected new presence interfere every crooked move comedies dramas international movies vijay sethupathi parthiban raashi khanna
80,firedrake the silver dragon,,home young dragon summons courage seek mythical paradise live peace fly free,children family movies,thomas brodie-sangster felicity jones freddie highmore patrick stewart meera syal sanjeev bhaskar nonso anozie,home young dragon summons courage seek mythical paradise live peace fly free children family movies thomas brodie-sangster felicity jones freddie highmore patrick stewart meera syal sanjeev bhaskar nonso anozie
81,kate,United States,slipped fatal poison final job ruthless assassin working le find ordered hit exact revenge,action adventure,mary elizabeth winstead jun kunimura woody harrelson tadanobu asano miyavi michiel huisman miku martineau,slipped fatal poison final job ruthless assassin working le find ordered hit exact revenge action adventure mary elizabeth winstead jun kunimura woody harrelson tadanobu asano miyavi michiel huisman miku martineau
82,lucifer,United States,lord hell devil connection homicide detective,crime shows comedies dramas,tom ellis lauren german kevin alejandro d.b woodside lesley-ann brandt scarlett estevez rachael harris aimee garcia tricia helfer tom welling jeremiah w. birkett pej vahdat michael gladis,lord hell devil connection homicide detective crime shows comedies dramas tom ellis lauren german kevin alejandro d.b woodside lesley-ann brandt scarlett estevez rachael harris aimee garcia tricia helfer tom welling jeremiah w. birkett pej vahdat michael gladis
83,metal shop masters,,competition show group metal torch cut weld epic steel one win prize,reality,jo koy,competition show group metal torch cut weld epic steel one win prize reality jo koy
84,omo ghetto: the saga,Nigeria,female gangster rich sister take family crime trouble,action adventure comedies dramas,funke akindele ayo makun chioma chukwuka akpotha yemi eberechi alade blossom chukwujekwu deyemi okanlawon alexx ekubo zubby michael tina mba femi jacobs,female gangster rich sister take family crime trouble action adventure comedies dramas funke akindele ayo makun chioma chukwuka akpotha yemi eberechi alade blossom chukwujekwu deyemi okanlawon alexx ekubo zubby michael tina mba femi jacobs
85,pokémon master journeys: the series,,ash way world coronation series quest catch every together journey adventure,anime series kids,ikue otani sarah natochenny zeno robinson cherami leigh james carter cathcart michele knotz rodger parsons ray chase casey mongillo tara sands,ash way world coronation series quest catch every together journey adventure anime series kids ikue otani sarah natochenny zeno robinson cherami leigh james carter cathcart michele knotz rodger parsons ray chase casey mongillo tara sands
86,prey,,trip wild turn desperate bid survival five run mysterious shooter,international movies thrillers,david kross hanno koffler maria ehrich robert finster yung ngo klaus steinbacher livia matthes nellie thalbach,trip wild turn desperate bid survival five run mysterious shooter international movies thrillers david kross hanno koffler maria ehrich robert finster yung ngo klaus steinbacher livia matthes nellie thalbach
87,titipo titipo,,train prove help train village ride safely reliably,kids korean shows,jeon hae-ri kim eun-ah hong bum-ki nam do-hyeong um sang-hyun,train prove help train village ride safely reliably kids korean shows jeon hae-ri kim eun-ah hong bum-ki nam do-hyeong um sang-hyun
88,blood brothers: malcolm x & muhammad ali,,chance meeting tragic extraordinary bond weight distrust shifting,documentaries sports movies,malcolm x muhammad ali,chance meeting tragic extraordinary bond weight distrust shifting documentaries sports movies malcolm x muhammad ali
89,mighty raju,,born superhuman young use make world better place mean facing plenty,kids,julie tejwani sabina malik jigna bhardwaj rupa bhimani lalit agarwal rajesh shukla rajesh kava,born superhuman young use make world better place mean facing plenty kids julie tejwani sabina malik jigna bhardwaj rupa bhimani lalit agarwal rajesh shukla rajesh kava
90,paradise hills,"Spain, United States",wake lush tropical facility designed turn willful perfect lady bad enough real purpose even worse,sci-fi fantasy thrillers,emma roberts danielle macdonald awkwafina eiza gonzález milla jovovich jeremy irvine arnaud valois daniel horvath,wake lush tropical facility designed turn willful perfect lady bad enough real purpose even worse sci-fi fantasy thrillers emma roberts danielle macdonald awkwafina eiza gonzález milla jovovich jeremy irvine arnaud valois daniel horvath
91,the women and the murderer,France,documentary capture serial killer guy tireless work two police chief victim mother,documentaries international movies,nan,documentary capture serial killer guy tireless work two police chief victim mother documentaries international movies nan
92,into the night,Belgium,crew aboard overnight flight scramble outrace sun mysterious cosmic event havoc world,international shows dramas mysteries,pauline etienne laurent capelluto stefano cassetti mehmet kurtuluş babetida sadjo jan bijvoet ksawery szlenkier vincent londez regina bikkinina alba gaïa kraghede bellugi nabil mallat,crew aboard overnight flight scramble outrace sun mysterious cosmic event havoc world international shows dramas mysteries pauline etienne laurent capelluto stefano cassetti mehmet kurtuluş babetida sadjo jan bijvoet ksawery szlenkier vincent londez regina bikkinina alba gaïa kraghede bellugi nabil mallat
93,jj+e,,live city inhabit different passionate first love break class cultural,dramas international movies romantic movies,elsa öhrn mustapha aarab jonay pineda skallak magnus krepper loreen albin grenholm simon mezher elsa bergström terent josef kadim yohannes frezgi,live city inhabit different passionate first love break class cultural dramas international movies romantic movies elsa öhrn mustapha aarab jonay pineda skallak magnus krepper loreen albin grenholm simon mezher elsa bergström terent josef kadim yohannes frezgi
94,show dogs,"United Kingdom, United States",rough tough police dog must go undercover agent prim proper pet dog show save baby panda illegal sale,children family movies comedies,will arnett ludacris natasha lyonne stanley tucci jordin sparks gabriel iglesias shaquille o'neal omar chaparro alan cumming andy beckwith delia sheppard kerry shale,rough tough police dog must go undercover agent prim proper pet dog show save baby panda illegal sale children family movies comedies will arnett ludacris natasha lyonne stanley tucci jordin sparks gabriel iglesias shaquille o'neal omar chaparro alan cumming andy beckwith delia sheppard kerry shale
95,the circle,"United States, United Kingdom",status strategy collide social experiment competition show flirt befriend catfish way toward,reality,michelle buteau,status strategy collide social experiment competition show flirt befriend catfish way toward reality michelle buteau
96,if i leave here tomorrow: a film about lynyrd skynyrd,United States,archival footage documentary story legendary southern focus front man van zant,documentaries music musicals,ronnie van zandt gary rossington allen collins leon wilkeson bob burns billy powell ed king artimus pyle steve gaines johnny van zant,archival footage documentary story legendary southern focus front man van zant documentaries music musicals ronnie van zandt gary rossington allen collins leon wilkeson bob burns billy powell ed king artimus pyle steve gaines johnny van zant
